timestamp,bid1_price,bid1_qty,bid2_price,bid2_qty,bid3_price,bid3_qty,bid4_price,bid4_qty,bid5_price,bid5_qty,ask1_price,ask1_qty,ask2_price,ask2_qty,ask3_price,ask3_qty,ask4_price,ask4_qty,ask5_price,ask5_qty,spread,midprice,total_buy_qty,total_sell_qty
2026-06-12T06:37:52.067,55938.6,120,55936,30,55931.4,60,55931.2,30,55925,30,55951.8,30,55952.2,30,55952.6,60,55952.8,60,55953,480,13.200000000004366,55945.2,270,660
2026-06-12T06:37:53.184,55938.6,120,55936,30,55931.4,60,55931.2,30,55925,30,55951.8,30,55952.2,30,55952.6,60,55952.8,60,55953,480,13.200000000004366,55945.2,270,660
2026-06-12T06:37:54.298,55938.6,60,55936,30,55931.2,30,55925,30,55923,30,55946.4,30,55947.4,150,55947.6,90,55947.8,60,55948,30,7.80000000000291,55942.5,180,360
2026-06-12T06:37:55.404,55938.8,90,55936,30,55931.4,60,55931.2,30,55925,30,55949.6,300,55950.4,30,55950.8,90,55951,30,55951.2,60,10.799999999995634,55944.2,240,510
2026-06-12T06:37:56.522,55938.8,90,55936,30,55931.4,60,55931.2,30,55925,30,55949.6,300,55951,60,55951.2,120,55951.6,240,55951.8,180,10.799999999995634,55944.2,240,900
2026-06-12T06:37:57.638,55938.8,90,55936,30,55931.6,60,55931.2,30,55925,30,55950,30,55950.6,30,55950.8,300,55951,90,55951.2,210,11.19999999999709,55944.4,240,660
2026-06-12T06:37:58.823,55938.6,60,55936,30,55931.2,30,55925,30,55923,30,55946.4,30,55947.4,150,55947.6,90,55947.8,60,55948,30,7.80000000000291,55942.5,180,360
2026-06-12T06:38:00.101,55938.6,120,55936,30,55931.4,60,55931.2,30,55925,30,55951.8,30,55952.2,30,55952.6,60,55952.8,60,55953,480,13.200000000004366,55945.2,270,660
2026-06-12T06:38:01.211,55939,90,55936,30,55931.4,60,55931.2,30,55925,30,55950.4,30,55951.2,90,55951.4,30,55951.6,150,55951.8,90,11.400000000001455,55944.7,240,390
2026-06-12T06:38:02.330,55939,60,55936,30,55931.2,30,55925,30,55923,30,55948.6,90,55948.8,90,55949,30,55949.2,150,55949.4,30,9.599999999998545,55943.8,180,390
2026-06-12T06:38:03.480,55939,60,55936.4,30,55936,30,55931.2,30,55925,30,55943.8,30,55945.2,30,55945.4,30,55945.6,60,55945.8,90,4.80000000000291,55941.4,180,240
2026-06-12T06:38:04.613,55939,60,55936.4,30,55936,30,55931.2,30,55925,30,55943.8,30,55945.6,180,55945.8,120,55946,90,55946.2,90,4.80000000000291,55941.4,180,510
